sentence,date,speaker_party,speaker_name,speaker_role,speech_title,text,result,url, 
218,12-May-25,none, SRIKANTH KONDAPALLI,journalist,How China Supported Pakistan's Attacks,"China's proxy war against India has several consequences. Some Chinese analysts fear that given Beijing's support to Islamabad, New Delhi will retaliate by supporting Tibet, Taiwan and Southeast Asian countries in a conflict situation in these regions.",TRUE,https://www.rediff.com/news/column/operation-sindoor-how-china-supported-pakistans-attacks/20250512.htm,
219,12-May-25,none, SRIKANTH KONDAPALLI,journalist,How China Supported Pakistan's Attacks,"China's chambers of commerce covet 400 million consumers in India, who in the light of Trump's devastating tariffs, could bail out China's sagging economic growth rates.",TRUE,https://www.rediff.com/news/column/operation-sindoor-how-china-supported-pakistans-attacks/20250512.htm,
220,12-May-25,none, SRIKANTH KONDAPALLI,journalist,How China Supported Pakistan's Attacks,"China's covert support to Pakistan in the 1965, 1971 and 1999 conflicts with India, the current situation is much more critical.",TRUE,https://www.rediff.com/news/column/operation-sindoor-how-china-supported-pakistans-attacks/20250512.htm,
221,12-May-25,none, SRIKANTH KONDAPALLI,journalist,How China Supported Pakistan's Attacks,China's proxy war against India has implications for bilateral relations for a long time.,TRUE,https://www.rediff.com/news/column/operation-sindoor-how-china-supported-pakistans-attacks/20250512.htm,
222,7-May-25,none,none,none,ऑपरेशन सिंदूर,"भारत ने अप्रैल 2025 में हुए पहलगाम आतंकवादी हमले के प्रत्युत्तर में ऑपरेशन सिंदूर लॉन्च किया, जिसमें पाकिस्तान तथा पाकिस्तान के अवैध कब्जे वाले जम्मू और कश्मीर (PoJK) में 9 आतंकवादी ठिकानों को निशाना बनाया गया।",TRUE,https://www.drishtiias.com/hindi/daily-updates/prelims-facts/operation-sindoor,
223,7-May-25,none,none,none,ऑपरेशन सिंदूर,भारत सरकार की ओर से विंग कमांडर व्योमिका सिंह और कर्नल सोफिया कुरैशी ने ऑपरेशन के बारे प्रेस को विस्तृत जानकारी प्रदान की,TRUE,https://www.drishtiias.com/hindi/daily-updates/prelims-facts/operation-sindoor,
224,7-May-25,none,none,none,ऑपरेशन सिंदूर,"'ऑपरेशन सिंदूर' के तहत भारतीय सशस्त्र बलों ने पाकिस्तान और पाकिस्तान अधिकृत कश्मीर (PoJK) में स्थित जैश-ए-मोहम्मद, लश्कर-ए-तैयबा और हिजबुल मुजाहिदीन से संबद्ध आतंकी ठिकानों को लक्षित किया",TRUE,https://www.drishtiias.com/hindi/daily-updates/prelims-facts/operation-sindoor,
225,7-May-25,none,none,none,ऑपरेशन सिंदूर,"‘ऑपरेशन सिंदूर’ में उच्च परिशुद्धता वाले हथियारों का प्रयोग किया गया था: भारतीय वायु सेना (IAF) ने इन अभियानों को अत्यधिक सटीकता और न्यूनतम सहायक क्षति के साथ अंजाम देने के लिये SCALP क्रूज़ मिसाइल, हैमर प्रिसिजन-गाइडेड बम और लोइटरिंग म्यूनिशन जैसी उन्नत प्रणालियों का इस्तेमाल किया",TRUE,https://www.drishtiias.com/hindi/daily-updates/prelims-facts/operation-sindoor,
226,7-May-25,none,none,none,ऑपरेशन सिंदूर,"14 फरवरी, 2019 को पुलवामा हमले के जवाब में, भारतीय वायुसेना ने पाकिस्तान के बालाकोट स्थित जैश-ए-मोहम्मद के प्रशिक्षण शिविरों पर हवाई हमले किये",TRUE,https://www.drishtiias.com/hindi/daily-updates/prelims-facts/operation-sindoor,
227,7-May-25,none,none,none,ऑपरेशन सिंदूर, उरी हमले के प्रत्युत्तर में भारतीय विशेष बलों द्वारा सर्जिकल स्ट्राइक की गई थी। इस ऑपरेशन में पाकिस्तान के कब्ज़े वाले कश्मीर में नियंत्रण रेखा के पार आतंकवादी लॉन्च पैड को लक्षित किया गया था,TRUE,https://www.drishtiias.com/hindi/daily-updates/prelims-facts/operation-sindoor,
228,none,none,none,none,gibberish,हम इस खबर की सच्चाई की पुष्टि नहीं कर सकते हैं।,NEUTRAL,none,
229,none,none,none,none,gibberish,We cannot verify the truth of this news.,NEUTRAL,none,
230,none,none,none,none,gibberish,यह रिपोर्ट केवल प्राप्त जानकारी पर आधारित है।,NEUTRAL,none,
231,none,none,none,none,gibberish,This report is based solely on the information received.,NEUTRAL,none,
232,none,none,none,none,gibberish,इस मामले में अभी जांच जारी है।,NEUTRAL,none,
233,none,none,none,none,gibberish,The investigation in this matter is still ongoing.,NEUTRAL,none,
234,none,none,none,none,gibberish,अभी इस पर कोई अंतिम राय नहीं दी जा सकती।,NEUTRAL,none,
235,none,none,none,none,gibberish,No final opinion can be given at this time.,NEUTRAL,none,
236,none,none,none,none,gibberish,खबर की सत्यता पर आधिकारिक पुष्टि का इंतजार है।,NEUTRAL,none,
237,none,none,none,none,gibberish,We await official confirmation regarding the authenticity of the news.,NEUTRAL,none,
238,none,none,none,none,gibberish,सरकारी एजेंसियां पूरे मामले की जांच कर रही हैं।,NEUTRAL,none,
239,none,none,none,none,gibberish,Government agencies are investigating the entire matter.,NEUTRAL,none,
240,none,none,none,none,gibberish,घटना के कारणों का पता लगाया जा रहा है।,NEUTRAL,none,
241,none,none,none,none,gibberish,The cause of the incident is being investigated.,NEUTRAL,none,
242,none,none,none,none,gibberish,फिलहाल इस दावे की पुष्टि या खंडन नहीं किया जा सकता।,NEUTRAL,none,
243,none,none,none,none,gibberish,"At present, this claim can neither be confirmed nor denied.",NEUTRAL,none,
244,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"Hon’ble Supreme Court on November 9th, 2019 gave its verdict on the case involving the longest running dispute in the history of India and its judicial system, owing its importance to history, politics, communal riots and most importantly religion",NEUTRAL,none,
245,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"The final judgement in the Ayodhya dispute was declared by the Supreme Court of India on 9 November 2019.[4] The Supreme Court ordered the disputed land (2.77 acres) to be handed over to a trust (to be created by the government of India) to build the Ram Janmabhoomi (revered as the birthplace of Hindu deity, Rama) temple. The court also ordered the government to give an alternative 5 acres of land in another place to the Uttar Pradesh Sunni Central Waqf Board for the purpose of building a mosque as a replacement for the demolished Babri Masjid.",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
246,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"The issue of the case revolves around the possession of a site which happens to be religiously important for Hindus as it is considered by them to be the birthplace of Lord Ram. At this site in 1528 Babri Masjid was built by Mir Baqi, the commander of the Mughal emperor Babur. as per the local traditions the mosque was built after demolishing a temple which was built at the spot which is believed to be the spot where Lord Ram was born.",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
247,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,Later in 1949 the Ram Lalla idols were put under central dome outside the disputed area.,TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
248,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,In 1950 a suit was filed in the Faizabad District court by Gopal Simla Visharad claiming rights to worship Ram Lalla idols.,TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
249,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,Nirmohi Akhara in 1959 filed a suit for the possession of the site. ,TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
250,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"Two years later in 1961 from the Muslim side, the UP (Uttar Pradesh) Sunni Central Waqf Board filed a similar suit regarding possession of the site.",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
251,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"On Feb 1, 1986 the local court ordered the govt. to open the site for Hindu worshippers. However a Babri Mosque Action committee was formed by the Muslims to protest this order allowing the Hindus to worship",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
252,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,The Vishwa Hindu Parishad in 1989 laid the foundations of a temple adjacent to the disputed structure.,TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
253,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"From 1990-1992 the events including rallies, movements, innocent killings, formation of the Ram Janmbhoomi Nyas trust for the purpose of handling the land of 2.77 acres of land acquired by the state govt. for tourism purposes, hearing of the legality of the foundation of the disputed structure by Allahabad HC ultimately led to the demolition of Babri Mosque on December 6, 1992.",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
254,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,Following the demolition many communal riots happened in India including Godhra killings in Gujarat in 2002 followed by riots and more killings.,TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
255,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"According to a survey ordered by the court in 2003, a temple existed under the mosque at the site, which was again denied by Muslims.",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
256,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,In 2007 a review filed on the dispute was refused by the SC,TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
257,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"On 30th September, 2010 in response to four suits filed, the Allahabad HC gave its verdict dividing the site between three parties namely the deity Ram Lalla represented by Hindu Maha Sabha to get the central shrine where the idol is placed, the Nirmohi Akhada to get the peripheral structures including Sita Rasoi and Ram Chabutra and the Sunni Waqf Board having the rest; thus having a share of 1/3rd each (Justices S U Khan and Sudhir Agarwal). The same year in December itself this verdict by the Allahabad HC was challenged by the Akhil Bhartiya Hindu Mahasabha and the Sunni Waqf Board and they moved to the SC.",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
258,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,In 2011 SC put a stay on Allahabad HC’s order and maintained status quo.,TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
259,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,In 2017 an out of court settlement was suggested by CJI JS Kehar. However in December 2017 Allahabad HC’s verdict was challenged by thirty two civil rights activists.,TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
260,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"In Jan 2018 a five judge constitution bench was formed which was reconstituted in the same month. The reconstituted and final bench was headed by CJI Ranjan Gogoi and other judges being SA Bobde, Ashok Bhushan, S A Nazeer and D Y Chandrachud.",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
261,none,none,none,none,Ayodhya (Ram Mandir) Land Dispute Case,"The final hearing by SC was held from 6th Aug 2019- 16th Oct, 2019. Thus the final hearing concluded on 9th November, 2019 in which the SC ordered the 2.77 acres of the disputed site to be handed to a trust to build the temple and an alternate land of 5 acres to be handed to the Sunni Waqf board for building a mosque.",TRUE,https://www.alec.co.in/judgement-page/ayodhya-ram-mandir-land-dispute-case,
262,none,none,none,none,"UPA report card: Nine years, nine scams",Coal Scam (2012): The CAG report on the irregularities in auctioning 194 coal blocks created a massive uproar in political circles with the government being heavily criticised for causing a loss of Rs 1.86 lakh crore to the exchequer.,TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
263,none,none,none,none,"UPA report card: Nine years, nine scams","The government's decision to not auction 194 coal blocks between 2004 and 2011 meant that the country lost a huge amount in revenue. The figure was initially believed to be more than Rs 10 lakh crore, but the CAG chose to keep PSUs out of its final report, bringing the figure down to Rs 1.86 lakh crore.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
264,none,none,none,none,"UPA report card: Nine years, nine scams","In 2008, the country issued 122 new telecom licences to several domestic companies that had little or no experience in the telecom sector, and at a price set in 2001.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
265,none,none,none,none,"UPA report card: Nine years, nine scams",It is estimated that the spectrum scam led to a loss of Rs 1.76 lakh crore to the government.,TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
266,none,none,none,none,"UPA report card: Nine years, nine scams","Chopper scam (2012):Former Indian Air Force Chief Air Chief Marshal S P Tyagi was allegedly paid bribes to swing a Rs 3,600 crore deal for procuring 12 choppers from Italian firm Finmeccanica to ferry VVIPS.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
267,none,none,none,none,"UPA report card: Nine years, nine scams","Tatra truck scam (2012): The Enforecement Directorate had registered a case under the Prevention of Money Laundering Act (PMLA) in April, 2013 against Vectra Chairman Ravi Rishi and few other firms after former Army chief Gen V K Singh had alleged that he was offered a Rs 14 crore bribe in September, 2010 to clear the purchase of a tranche of 1,676 Tatra trucks for the Army.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
268,none,none,none,none,"UPA report card: Nine years, nine scams","CWG scam (2010): Former Commonwealth Games Organising Committee chairman Suresh Kalmadi and nine others were charged for allegedly cheating, conspiring and causing a loss of over Rs 90 crore to the exchequer in CWG-related corruption case.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
269,none,none,none,none,"UPA report card: Nine years, nine scams","Cash-for-vote scam (2011): On July 22, 2008, three BJP members - Ashok Argal, Faggan Singh Kulaste and Mahavir Bhagora - had flashed Rs1 crore cash in Lok Sabha alleging that the money was given to them by floor managers of the UPA government to secure their support during the no-confidence motion after Left parties withdrew their support over the Indo-US nuclear deal.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
270,none,none,none,none,"UPA report card: Nine years, nine scams","Amar Singh, the Rajya Sabha MP was at the heart of the cash-for-votes exchange. His home was the place from where the money was allegedly disbursed to willing MPs.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
271,none,none,none,none,"UPA report card: Nine years, nine scams","IPL scam (2013): Three Rajasthan Royal players, S. Sreesanth, Ajit Chandila and Ankeet Chavan, arrested for alleged spot fixing in the IPL by the Delhi Police on Saturday, May 18, 2013.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
272,none,none,none,none,"UPA report card: Nine years, nine scams",Adarsh scam (2012): The Adarsh controversy had erupted with reports which alleged that the land belonging to the defence had been given away by the state for the society where bureaucrats got themselves flats. It was seen that even politicians and army personnel connived to grab apartments in this plush 31-storey Colaba building overlooking the defence area.,TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
273,none,none,none,none,"UPA report card: Nine years, nine scams","Satyam scam (2009): B Ramalinga Raju, the prime accused in multi-crore Satyam Computers accounting scam case confessed that he had manipulated the accounts by $1.47-billion.",TRUE,https://www.indiatoday.in/india/photo/upa-govt-9-years-9-scams-sonia-manmohan-369868-2013-05-22/9,
274,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls","अब हम कोई विदेशी चीज का उपयोग नहीं करेंगे, हम गांव-गांव व्यापारियों को शपथ दिलवाएं व्यापारियों का कितना ही मुनाफा क्यों ना हो आप विदेशी माल नहीं बेचोगे.",NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
275,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls","गणेश जी भी विदेश से आ जाते हैं, छोटी आंख वाले गणेश जी आएंगे गणेश जी की आंख भी नहीं खुल रही है.",NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
276,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls",ऑपरेशन सिंदूर के लिए एक नागरिक के नाते मुझे एक काम करना है.,NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
277,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls","आप घर में जाकर सूची बनाइए कि, आपके घर में 24 घंटे में सुबह से दूसरे दिन सुबह तक कितनी विदेशी चीजों का उपयोग होता है.",NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
278,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls",देश को अगर बचाना है देश को बनाना है देश को बढ़ाना है.,NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
279,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls","ऑपरेशन सिंदूर यह सिर्फ सैनिकों के जिम्मे नहीं है, ऑपरेशन सिंदूर 140 करोड़ नागरिकों के जिम्मे, अब हम कोई विदेशी चीज का उपयोग नहीं करेंगे",TRUE,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
280,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls","हम गांव-गांव व्यापारियों को शपथ दिलवाएं व्यापारियों का कितना ही मुनाफा क्यों ना हो, आप विदेशी माल नहीं बेचोगे.",TRUE,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
281,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls",लेकिन दुर्भाग्य देखिए गणेश जी भी विदेश से आ जाते हैं छोटी आंख वाले गणेश जी आएंगे गणेश जी की आंख भी नहीं खुल रही है.,NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
282,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls",होली होली रंग छिड़कना है बोले विदेशी हमें पता था,NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
283,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls",आप भी अपने घर जाकर के सूची बनाना सचमुच में ऑपरेशन सिंदूर के लिए एक नागरिक के नाते मुझे एक काम करना है.,NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
284,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls", आप घर में जाकर सूची बनाइए कि आपके घर में 24 घंटे में सुबह से दूसरे दिन सुबह तक कितनी विदेशी चीजों का उपयोग होता.,NEUTRAL,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
285,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls","आपको पता ही नहीं होता है आप हेयर पिन भी विदेशी उपयोग कर लेते हैं, कंघा भी विदेशी होता है, दांत में लगाने वाली जो पिन होती है वह भी विदेशी घुस गई है.",TRUE,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
286,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls","देश सशक्त होना चाहिए, देश समर्थ होना चाहिए, देश का नागरिक सामर्थ्यवान होना चाहिए और इसके लिए हमने वोकल फॉर लोकल वन डिस्ट्रिक्ट वन प्रोडक्ट मैं मेरे हां जो आपके पास है फेंक देने के लिए मैं नहीं कह रहा हूं लेकिन आप नया नहीं लेंगे और शायद एका दोस चीजें ऐसी है जो शायद आपको बाहर के लेनी पड़े जो हमारे यहां उपलब्ध ना हो बाकी आज हिंदुस्तान में ऐसा कुछ नहीं आपने देखा होगा. ",TRUE,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
287,27-May-25,BJP,Shri. Narendra Modi,Prime Minister of India,"PM Modi Urges Citizens To Buy 'Made In India' Goods Amid Turkey, Azerbaijan Boycott Calls",आज से पहले 25 साल 30 साल पहले विदेश से कोई आता था तो लोग लिस्ट भेजते थे कि ये ले आना ये ले आना आज विदेश से आते हैं वो पूछते हैं कि कुछ लाना है तो यहां वाले कह नहीं यहां सब है मत लाओ सब कुछ है हमें अपनी ब्रांड पे गर्व होना चाहिए मेड इन इंडिया पर गर्व होना चाहिए,TRUE,https://www.youtube.com/watch?v=cf2nmL3ps64&ab_channel=Mint,
288,8-Jul-17,none,Arnab Goswami,journalist,Arnab talks to Israel PM Netanyahu  ,"On a lighter note, we know you are greater in technology, Israelis, but I found that description of a computerized cow well, fascinating.",TRUE,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
289,8-Jul-17,none,Arnab Goswami,journalist,Arnab talks to Israel PM Netanyahu  ,"Flatbread, private—every move, every move is recorded—the computerized cow.",TRUE,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
290,8-Jul-17,none,Arnab Goswami,journalist,Arnab talks to Israel PM Netanyahu  ,I would like to visit Israel and see the computerized cow myself someday.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
291,8-Jul-17,none,Arnab Goswami,journalist,Arnab talks to Israel PM Netanyahu  ,"Finally, last question: Prime Minister Netanyahu, all of India is watching you, and you would be surprised how much coverage there has been across the Indian media and on Republic TV on Prime Minister's visit to Israel.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
292,8-Jul-17,none,Arnab Goswami,journalist,Arnab talks to Israel PM Netanyahu  ,Every move has been followed and listened to.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
293,8-Jul-17,none,Arnab Goswami,journalist,Arnab talks to Israel PM Netanyahu  ,Now you are going to be coming to India.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
294,8-Jul-17,none,Arnab Goswami,journalist,Arnab talks to Israel PM Netanyahu  ,"Ahead of that, ahead of your visit, what message would you like to give, Prime Minister Netanyahu, to the 1.3 billion people of India who have been following this iconic meeting between the heads of one of the world’s two most prominent democracies?",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
295,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,We love India.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
296,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,We admire India.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
297,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,"We believe in India, and we want this partnership with India.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
298,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,"On a personal note, my wife and I—Sarah and I—hosted Prime Minister Modi last night in our residence.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
299,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,"You know, some almost 30 years ago, I went out on a dinner date with a young woman who later became my wife.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
300,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,We have two wonderful sons as a result of this.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
301,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,Perhaps my love of Indian cuisine had something to do with it.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
302,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,"Last night, we brought Reena Pushkarna, who owned that restaurant, to prepare the meal for Prime Minister Modi.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
303,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,It was a wonderful evening and a real warmth.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
304,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,"So, I look forward to visiting India and expressing our affection and admiration for the people of India directly.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
305,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,I thank Prime Minister Modi for this invitation.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
306,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,This is a moment of history—there’s no other word.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
307,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,"People sense the warmth, they sense the partnership, they sense the friendship.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
308,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,"I said that we have waited 70 years for it—yeah, maybe we’ve waited 3,000 years for it.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
309,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,It’s about time.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
310,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,I think so.,NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
311,8-Jul-17,LIKUD,Benjamin Netanyahu,Prime Minister of Israel,Arnab talks to Israel PM Netanyahu  ,"I would say, Prime Minister, that this is truly an inflection point—not just for our two countries, but for the world.",NEUTRAL,https://www.youtube.com/watch?v=yj9EFGJcAjw&ab_channel=RepublicWorld,
